Area,Class,Carnivore,Wildness,Mammal,Light Pollution,Noise Pollution
Acadia National Park,National_Park,0.540765859,0.573720357,0.556753911,NA,31.72045247
Antelope Creek BLM WSA,BLM_WSA,0.463118776,0.781285227,0.589503289,3.892088312,31.42553355
Arches National Park,National_Park,0.311727813,0.82751798,0.633743088,4.057583287,30.49950682
Axolotl Lakes BLM WSA,BLM_WSA,0.504689622,0.81616506,0.676189051,3.957555054,32.42568056
Badlands National Park,National_Park,0.232269794,0.672584642,0.54577811,3.881997683,32.07042634
Bell/Limekiln Canyons BLM WSA,BLM_WSA,0.540038008,0.855014131,0.689828068,3.883990503,30.22255674
Big Bend National Park,National_Park,0.4,0.945136358,0.720095397,4.153845904,31.47741278
Big Snowies FS WSA,FS_WSA,0.398525612,0.959501524,0.526057249,3.966106665,32.59696327
Billy Creek BLM WSA,BLM_WSA,0.337623794,0.943474654,0.569235136,3.890437177,31.72382137
Biscayne National Park,National_Park,0.55578805,0.793434967,0.666766307,2.900507161,30.66953336
Bitter Creek BLM WSA,BLM_WSA,0.198432103,0.894232465,0.531620888,3.851100179,30.26841565
Black Canyon of the Gunnison National Park,National_Park,0.422869279,0.780544224,0.613725966,4.056793948,31.5723794
Black Sage BLM WSA,BLM_WSA,0.543718153,0.798245754,0.661802589,3.777562424,28.002022
Blacktail Mountains BLM WSA,BLM_WSA,0.525443141,0.95782841,0.68772682,3.927148578,32.23236436
Bluejoint FS WSA,FS_WSA,0.664066417,0.845122103,0.713694799,3.924410182,32.20675946
Bridge Coulee BLM WSA,BLM_WSA,0.446479829,0.940690705,0.589311978,4.002671229,31.77443548
Bryce Canyon National Park,National_Park,0.358768324,0.642384976,0.557194733,3.980727273,31.02438173
Canyonlands National Park,National_Park,0.297149992,0.968492255,0.642956472,4.105124665,31.28093427
Capitol Reef National Park,National_Park,0.309114835,0.894012184,0.571686245,4.03722674,31.30513898
Carlsbad Caverns National Park,National_Park,0.466628318,0.768399366,0.666893404,3.977677454,31.00206648
Centennial Mountains BLM WSA,BLM_WSA,0.481572407,0.957573108,0.720077381,3.851030331,31.5162938
Channel Islands National Park,National_Park,0.590249104,0.935429615,0.639366937,NA,30.57125866
Congaree National Park,National_Park,0.090087392,0.611213172,0.490221836,3.645522663,32.52097674
Cow Creek BLM WSA,BLM_WSA,0.470150225,0.845304963,0.592854965,3.869648101,30.90447832
Crater Lake National Park,National_Park,0.424588037,0.770431325,0.623920855,3.885325637,32.29297413
Cuyahoga Valley National Park,National_Park,0.046869042,0.50613899,0.392826285,2.785837348,24.81208565
Death Valley National Park,National_Park,0.331411121,0.817115492,0.671245521,4.064910701,30.67961307
Dog Creek South BLM WSA,BLM_WSA,0.431477697,0.783337651,0.560063925,3.986782171,31.53973239
Dry Tortugas National Park,National_Park,NA,NA,NA,NA,NA
East Fork Blacktail Deer Creek BLM WSA,BLM_WSA,0.49622337,0.977062205,0.696068814,3.920461056,32.60819102
Ervin Ridge BLM WSA,BLM_WSA,0.466948151,0.940260743,0.581397056,3.940397054,31.35060108
Everglades National Park,National_Park,0.631185912,0.818956336,0.700341302,3.715166332,31.75168955
Farlin Creek BLM WSA,BLM_WSA,0.563254083,0.827213435,0.682984948,3.906297077,31.57507995
Glacier National Park,National_Park,0.698713877,0.877790005,0.754197268,3.845080241,31.76813262
Grand Canyon National Park,National_Park,0.387212011,0.942551359,0.712135726,4.045664096,30.26210628
Grand Teton National Park,National_Park,0.611001377,0.752777875,0.788493606,3.871123548,30.70009878
Great Basin National Park,National_Park,0.422685026,0.853054615,0.79841239,4.058323364,32.21339784
Great Sand Dunes National Park,National_Park,0.467427043,0.788542833,0.677086702,4.010640286,32.17713461
Great Smoky Mountains National Park,National_Park,0.314862118,0.698692337,0.571190151,3.771691063,32.59924228
Guadalupe Mountains National Park,National_Park,0.402434873,0.816558968,0.660474037,4.040185681,31.14493871
Henneberry Ridge BLM WSA,BLM_WSA,0.549124204,0.876540818,0.68572804,3.854585466,27.24575366
Hidden Pasture Creek BLM WSA,BLM_WSA,0.527929965,0.866151749,0.693559124,3.918626023,30.68192782
Hoodoo Mountain BLM WSA,BLM_WSA,0.664424039,0.835620671,0.724116032,3.927034416,32.341014
Hot Springs National Park,National_Park,0.302118806,0.420159708,0.59665216,2.885704798,25.12492483
Isle Royale National Park,National_Park,NA,0.953230375,NA,3.98952086,30.9757341
Joshua Tree National Park,National_Park,0.428443519,0.893721395,0.694580444,3.991405145,29.06800067
Kings Canyon National Park,National_Park,0.449275656,0.539282034,0.690953906,4.0404266,29.30411007
Lassen Volcanic National Park,National_Park,0.599212827,0.584549969,0.703159459,4.058807434,31.33994839
Mammoth Cave National Park,National_Park,0.030698224,0.636390252,0.388933222,3.816475483,32.57830274
Mesa Verde National Park,National_Park,0.389106684,0.605690146,0.648052953,4.06079917,30.57294125
Middle Fork Judith FS WSA,FS_WSA,0.436558127,0.914485828,0.574704056,3.9122541,32.30960498
Mount Rainier National Park,National_Park,0.30767508,0.654809448,0.517729386,3.827039983,30.32696633
North Cascades National Park,National_Park,0.784473832,0.873975329,0.83477539,3.895875005,31.85554494
Olympic National Park,National_Park,0.56204651,0.710158199,0.625875977,3.791378563,32.13288793
Petrified Forest National Park,National_Park,0.396820306,0.835480795,0.723204669,3.959784689,29.47231381
Redwood National Park,National_Park,0.601402775,0.684450651,0.77710267,3.796919896,32.35860181
Rocky Mountain National Park,National_Park,0.482416504,0.52525122,0.650219514,3.803734899,28.67720399
Ruby Mountains BLM WSA,BLM_WSA,0.528860313,0.876382204,0.671808562,3.84116379,31.62046106
Saguaro National Park,National_Park,0.278214169,0.832719412,0.725570667,3.480654569,26.68483855
Sapphire FS WSA,FS_WSA,0.63608049,0.902924809,0.702827692,3.950479112,32.41380648
Sequoia National Park,National_Park,0.422293047,0.852454478,0.68969562,4.044112647,31.86166462
Seven Blackfoot BLM WSA,BLM_WSA,0.357648272,0.935871046,0.574117952,3.895913974,32.06511007
Shenandoah National Park,National_Park,0.360095634,0.637532406,0.566193672,3.787979754,32.19006708
Stafford BLM WSA,BLM_WSA,0.438172774,0.857702405,0.56410986,3.953446243,31.76409038
Terry Badlands BLM WSA,BLM_WSA,0.168811706,0.845588101,0.498934774,3.756661939,29.21578865
Theodore Roosevelt National Park,National_Park,0.16755855,0.608331403,0.499455706,3.603670608,29.33608084
Twin Coulee BLM WSA,BLM_WSA,0.40367561,0.971199921,0.522853771,4.005551032,32.52217682
Virgin Islands National Park,National_Park,NA,NA,NA,NA,NA
Voyageurs National Park,National_Park,0.571428571,0.901760654,0.670477048,3.570290167,32.00656153
Wales Creek BLM WSA,BLM_WSA,0.682531897,0.922763507,0.725937174,3.994212974,32.38975513
West Pioneer FS WSA,FS_WSA,0.582486825,0.918424301,0.686263449,3.890639408,32.27717728
Wind Cave National Park,National_Park,0.248846617,0.692086775,0.533337741,3.934416455,31.83784667
Woodhawk BLM WSA,BLM_WSA,0.47173627,0.90626422,0.586442277,3.857450049,30.82214913
Yellowstone National Park,National_Park,0.570349017,0.840912985,0.757221577,3.901111466,31.61029388
Yosemite National Park,National_Park,0.512476228,0.5579885,0.693658915,4.050227128,30.62560558
Zion National Park,National_Park,0.381865349,0.732016298,0.665930953,4.053609367,31.08158173